album,song
Red (Taylor’s Version),Holy Ground
Red (Taylor’s Version),Sad Beautiful Tragic
Red (Taylor’s Version),The Lucky One
Red (Taylor’s Version),Everything Has Changed (featuring Ed Sheeran)
Red (Taylor’s Version),Starlight
Red (Taylor’s Version),Begin Again
Red (Taylor’s Version),The Moment I Knew
Red (Taylor’s Version),Come Back… Be Here
Red (Taylor’s Version),Girl At Home
Red (Taylor’s Version),State Of Grace (acoustic version)
Red (Taylor’s Version),Ronan
Red (Taylor’s Version),Better Man
Red (Taylor’s Version),Nothing New with Phoebe Bridgers
Red (Taylor’s Version),Babe
Red (Taylor’s Version),Message In A Bottle
Red (Taylor’s Version),I Bet You Think About Me with Chris Stapleton
Red (Taylor’s Version),Forever Winter
Red (Taylor’s Version),Run  -  with Ed Sheeran
Red (Taylor’s Version),The Very First Night
Red (Taylor’s Version),All Too Well   -  10 Minute Version
Folklore: The Long Pond Studio Sessions (Record Store Day Release 2023),The 1 (The Long Pond Studio Sessions) 3:39
Folklore: The Long Pond Studio Sessions (Record Store Day Release 2023),Cardigan (The Long Pond Studio Sessions) 3:50
Folklore: The Long Pond Studio Sessions (Record Store Day Release 2023),The Last Great American Dynasty (The Long Pond Studio Sessions) 3:52
Folklore: The Long Pond Studio Sessions (Record Store Day Release 2023),Exile (The Long Pond Studio Sessions) 4:39
Folklore: The Long Pond Studio Sessions (Record Store Day Release 2023),My Tears Ricochet (The Long Pond Studio Sessions) 4:55
Folklore: The Long Pond Studio Sessions (Record Store Day Release 2023),Mirrorball (The Long Pond Studio Sessions) 3:57
Folklore: The Long Pond Studio Sessions (Record Store Day Release 2023),Seven (The Long Pond Studio Sessions) 3:28
Folklore: The Long Pond Studio Sessions (Record Store Day Release 2023),August (The Long Pond Studio Sessions) 4:20
Folklore: The Long Pond Studio Sessions (Record Store Day Release 2023),This Is Me Trying (The Long Pond Studio Sessions) 3:29
Folklore: The Long Pond Studio Sessions (Record Store Day Release 2023),Illicit Affairs (The Long Pond Studio Sessions) 3:03
Folklore: The Long Pond Studio Sessions (Record Store Day Release 2023),Invisible String (The Long Pond Studio Sessions) 4:17
Folklore: The Long Pond Studio Sessions (Record Store Day Release 2023),Mad Woman (The Long Pond Studio Sessions) 3:58
Folklore: The Long Pond Studio Sessions (Record Store Day Release 2023),Epiphany (The Long Pond Studio Sessions) 4:34
Folklore: The Long Pond Studio Sessions (Record Store Day Release 2023),Betty (The Long Pond Studio Sessions) 4:50
Folklore: The Long Pond Studio Sessions (Record Store Day Release 2023),Peace (The Long Pond Studio Sessions) 3:34
Folklore: The Long Pond Studio Sessions (Record Store Day Release 2023),Hoax (The Long Pond Studio Sessions) 3:41
Folklore: The Long Pond Studio Sessions (Record Store Day Release 2023),The Lakes (The Long Pond Studio Sessions) 3:19
The Taylor Swift Holiday Collection,Last Christmas
The Taylor Swift Holiday Collection,Christmases When You Were Mine
The Taylor Swift Holiday Collection,Santa Baby
The Taylor Swift Holiday Collection,Silent Night
